produk_id,nama_produk,kategori,harga_jual,harga_modal
SF001,Sofa Seri 001,Sofa,7750000,4890000
SF002,Sofa Seri 002,Sofa,5950000,3780000
SF003,Sofa Seri 003,Sofa,12490000,7650000
SF004,Sofa Seri 004,Sofa,7400000,5020000
SF005,Sofa Seri 005,Sofa,13820000,8510000
SF006,Sofa Seri 006,Sofa,4230000,2800000
SF007,Sofa Seri 007,Sofa,10370000,6980000
SF008,Sofa Seri 008,Sofa,13020000,7860000
SF009,Sofa Seri 009,Sofa,11780000,6940000
SF010,Sofa Seri 010,Sofa,18330000,12440000
SF011,Sofa Seri 011,Sofa,4580000,3170000
SF012,Sofa Seri 012,Sofa,7980000,5010000
SF013,Sofa Seri 013,Sofa,16570000,10390000
SF014,Sofa Seri 014,Sofa,11630000,6940000
SF015,Sofa Seri 015,Sofa,6690000,3890000
SF016,Sofa Seri 016,Sofa,10420000,6780000
SF017,Sofa Seri 017,Sofa,8850000,5830000
SF018,Sofa Seri 018,Sofa,10500000,6430000
SF019,Sofa Seri 019,Sofa,8050000,4730000
SF020,Sofa Seri 020,Sofa,9700000,6210000
SF021,Sofa Seri 021,Sofa,9200000,5780000
SF022,Sofa Seri 022,Sofa,7310000,4650000
SF023,Sofa Seri 023,Sofa,7750000,5480000
SF024,Sofa Seri 024,Sofa,3520000,2390000
SF025,Sofa Seri 025,Sofa,5340000,3570000
SF026,Sofa Seri 026,Sofa,5850000,3870000
SF027,Sofa Seri 027,Sofa,36010000,22010000
SF028,Sofa Seri 028,Sofa,6980000,4550000
SF029,Sofa Seri 029,Sofa,7520000,4770000
SF030,Sofa Seri 030,Sofa,5980000,3920000
SF031,Sofa Seri 031,Sofa,3420000,2270000
SF032,Sofa Seri 032,Sofa,6260000,4090000
SF033,Sofa Seri 033,Sofa,9380000,5680000
SF034,Sofa Seri 034,Sofa,13040000,8100000
SF035,Sofa Seri 035,Sofa,5970000,3600000
SF036,Sofa Seri 036,Sofa,35450000,23850000
SF037,Sofa Seri 037,Sofa,10360000,6570000
SF038,Sofa Seri 038,Sofa,6260000,3950000
SF039,Sofa Seri 039,Sofa,6120000,4020000
SF040,Sofa Seri 040,Sofa,5750000,3640000
SF041,Sofa Seri 041,Sofa,7920000,5030000
SF042,Sofa Seri 042,Sofa,4260000,2970000
MJ001,Meja Seri 001,Meja,2940000,1960000
MJ002,Meja Seri 002,Meja,3330000,2200000
MJ003,Meja Seri 003,Meja,2060000,1240000
MJ004,Meja Seri 004,Meja,3430000,2180000
MJ005,Meja Seri 005,Meja,4030000,2680000
MJ006,Meja Seri 006,Meja,4050000,2500000
MJ007,Meja Seri 007,Meja,5590000,3870000
MJ008,Meja Seri 008,Meja,3030000,1860000
MJ009,Meja Seri 009,Meja,2670000,1610000
MJ010,Meja Seri 010,Meja,3850000,2540000
MJ011,Meja Seri 011,Meja,6920000,4350000
MJ012,Meja Seri 012,Meja,11220000,7450000
MJ013,Meja Seri 013,Meja,2960000,1870000
MJ014,Meja Seri 014,Meja,4970000,3390000
MJ015,Meja Seri 015,Meja,2920000,1850000
MJ016,Meja Seri 016,Meja,7350000,4660000
MJ017,Meja Seri 017,Meja,3280000,1930000
MJ018,Meja Seri 018,Meja,3700000,2340000
MJ019,Meja Seri 019,Meja,6140000,3850000
MJ020,Meja Seri 020,Meja,4520000,2840000
MJ021,Meja Seri 021,Meja,2560000,1650000
MJ022,Meja Seri 022,Meja,4090000,2650000
MJ023,Meja Seri 023,Meja,8100000,5020000
MJ024,Meja Seri 024,Meja,3010000,1850000
MJ025,Meja Seri 025,Meja,5470000,3580000
MJ026,Meja Seri 026,Meja,3480000,2160000
MJ027,Meja Seri 027,Meja,3790000,2320000
MJ028,Meja Seri 028,Meja,10280000,6580000
MJ029,Meja Seri 029,Meja,2890000,1930000
MJ030,Meja Seri 030,Meja,2670000,1720000
MJ031,Meja Seri 031,Meja,7400000,5130000
MJ032,Meja Seri 032,Meja,5400000,3440000
MJ033,Meja Seri 033,Meja,4180000,2720000
MJ034,Meja Seri 034,Meja,6280000,4340000
MJ035,Meja Seri 035,Meja,5190000,3260000
MJ036,Meja Seri 036,Meja,3410000,2080000
MJ037,Meja Seri 037,Meja,3320000,1830000
MJ038,Meja Seri 038,Meja,5030000,3290000
MJ039,Meja Seri 039,Meja,6590000,3940000
MJ040,Meja Seri 040,Meja,4110000,2600000
MJ041,Meja Seri 041,Meja,2240000,1450000
MJ042,Meja Seri 042,Meja,10940000,7220000
MJ043,Meja Seri 043,Meja,4010000,2660000
MJ044,Meja Seri 044,Meja,6150000,3870000
MJ045,Meja Seri 045,Meja,2740000,1870000
MJ046,Meja Seri 046,Meja,2600000,1640000
KR001,Kursi Seri 001,Kursi,3260000,1940000
KR002,Kursi Seri 002,Kursi,1500000,1000000
KR003,Kursi Seri 003,Kursi,1440000,890000
KR004,Kursi Seri 004,Kursi,1790000,1100000
KR005,Kursi Seri 005,Kursi,3610000,2260000
KR006,Kursi Seri 006,Kursi,3040000,1800000
KR007,Kursi Seri 007,Kursi,1690000,960000
KR008,Kursi Seri 008,Kursi,2800000,1690000
KR009,Kursi Seri 009,Kursi,3260000,2100000
KR010,Kursi Seri 010,Kursi,1900000,1180000
KR011,Kursi Seri 011,Kursi,1570000,1050000
KR012,Kursi Seri 012,Kursi,2460000,1430000
KR013,Kursi Seri 013,Kursi,3330000,2180000
KR014,Kursi Seri 014,Kursi,3530000,2390000
KR015,Kursi Seri 015,Kursi,2050000,1380000
KR016,Kursi Seri 016,Kursi,3780000,2470000
KR017,Kursi Seri 017,Kursi,4540000,2830000
KR018,Kursi Seri 018,Kursi,1090000,680000
KR019,Kursi Seri 019,Kursi,2530000,1630000
KR020,Kursi Seri 020,Kursi,1970000,1230000
KR021,Kursi Seri 021,Kursi,2670000,1700000
KR022,Kursi Seri 022,Kursi,2200000,1490000
KR023,Kursi Seri 023,Kursi,1270000,840000
KR024,Kursi Seri 024,Kursi,3000000,1910000
KR025,Kursi Seri 025,Kursi,3670000,2340000
KR026,Kursi Seri 026,Kursi,2860000,1810000
KR027,Kursi Seri 027,Kursi,1770000,1190000
KR028,Kursi Seri 028,Kursi,1780000,1160000
KR029,Kursi Seri 029,Kursi,5120000,3170000
KR030,Kursi Seri 030,Kursi,3050000,2020000
KR031,Kursi Seri 031,Kursi,2350000,1690000
KR032,Kursi Seri 032,Kursi,2340000,1580000
KR033,Kursi Seri 033,Kursi,3030000,1950000
KR034,Kursi Seri 034,Kursi,2350000,1450000
KR035,Kursi Seri 035,Kursi,1760000,1000000
KR036,Kursi Seri 036,Kursi,2360000,1500000
KR037,Kursi Seri 037,Kursi,2790000,1760000
KR038,Kursi Seri 038,Kursi,2240000,1440000
KR039,Kursi Seri 039,Kursi,2460000,1480000
KR040,Kursi Seri 040,Kursi,2380000,1560000
KR041,Kursi Seri 041,Kursi,1620000,1010000
KR042,Kursi Seri 042,Kursi,1850000,1160000
KR043,Kursi Seri 043,Kursi,5270000,3480000
KR044,Kursi Seri 044,Kursi,2280000,1430000
KR045,Kursi Seri 045,Kursi,3000000,1960000
KR046,Kursi Seri 046,Kursi,1210000,710000
KR047,Kursi Seri 047,Kursi,4470000,2890000
KR048,Kursi Seri 048,Kursi,5130000,3310000
LM001,Lemari Seri 001,Lemari,6680000,4450000
LM002,Lemari Seri 002,Lemari,5960000,3820000
LM003,Lemari Seri 003,Lemari,5440000,3330000
LM004,Lemari Seri 004,Lemari,4320000,2800000
LM005,Lemari Seri 005,Lemari,6890000,4310000
LM006,Lemari Seri 006,Lemari,13730000,9260000
LM007,Lemari Seri 007,Lemari,4350000,2650000
LM008,Lemari Seri 008,Lemari,5080000,3250000
LM009,Lemari Seri 009,Lemari,2210000,1520000
LM010,Lemari Seri 010,Lemari,7760000,5070000
LM011,Lemari Seri 011,Lemari,12480000,8390000
LM012,Lemari Seri 012,Lemari,7130000,5020000
LM013,Lemari Seri 013,Lemari,3180000,1970000
LM014,Lemari Seri 014,Lemari,4520000,2980000
LM015,Lemari Seri 015,Lemari,3180000,2080000
LM016,Lemari Seri 016,Lemari,16110000,9830000
LM017,Lemari Seri 017,Lemari,16390000,10320000
LM018,Lemari Seri 018,Lemari,22510000,14880000
LM019,Lemari Seri 019,Lemari,5540000,3510000
LM020,Lemari Seri 020,Lemari,8740000,5710000
LM021,Lemari Seri 021,Lemari,7550000,4750000
LM022,Lemari Seri 022,Lemari,8900000,5670000
LM023,Lemari Seri 023,Lemari,8770000,5580000
LM024,Lemari Seri 024,Lemari,5790000,3760000
LM025,Lemari Seri 025,Lemari,9570000,5970000
LM026,Lemari Seri 026,Lemari,5250000,3210000
LM027,Lemari Seri 027,Lemari,14450000,9170000
LM028,Lemari Seri 028,Lemari,6300000,4180000
LM029,Lemari Seri 029,Lemari,8480000,5950000
LM030,Lemari Seri 030,Lemari,5720000,4020000
LM031,Lemari Seri 031,Lemari,6490000,4140000
LM032,Lemari Seri 032,Lemari,4960000,3220000
LM033,Lemari Seri 033,Lemari,6100000,3830000
LM034,Lemari Seri 034,Lemari,5930000,3700000
LM035,Lemari Seri 035,Lemari,11500000,7090000
LM036,Lemari Seri 036,Lemari,4150000,2670000
LM037,Lemari Seri 037,Lemari,3800000,2480000
LM038,Lemari Seri 038,Lemari,5010000,3390000
LM039,Lemari Seri 039,Lemari,7740000,5090000
LM040,Lemari Seri 040,Lemari,9610000,6110000
KS001,Kasur Seri 001,Kasur,9740000,6430000
KS002,Kasur Seri 002,Kasur,6150000,3870000
KS003,Kasur Seri 003,Kasur,12030000,8240000
KS004,Kasur Seri 004,Kasur,10560000,6600000
KS005,Kasur Seri 005,Kasur,13120000,8010000
KS006,Kasur Seri 006,Kasur,8770000,5540000
KS007,Kasur Seri 007,Kasur,6100000,3850000
KS008,Kasur Seri 008,Kasur,5690000,3580000
KS009,Kasur Seri 009,Kasur,11180000,7320000
KS010,Kasur Seri 010,Kasur,14650000,9020000
KS011,Kasur Seri 011,Kasur,17850000,11430000
KS012,Kasur Seri 012,Kasur,11030000,6980000
KS013,Kasur Seri 013,Kasur,10990000,7090000
KS014,Kasur Seri 014,Kasur,6440000,4230000
KS015,Kasur Seri 015,Kasur,7280000,4710000
KS016,Kasur Seri 016,Kasur,26320000,18480000
KS017,Kasur Seri 017,Kasur,15120000,9650000
KS018,Kasur Seri 018,Kasur,7410000,4790000
KS019,Kasur Seri 019,Kasur,7170000,4630000
KS020,Kasur Seri 020,Kasur,17920000,11470000
KS021,Kasur Seri 021,Kasur,8510000,5090000
KS022,Kasur Seri 022,Kasur,13060000,8120000
KS023,Kasur Seri 023,Kasur,13410000,8790000
KS024,Kasur Seri 024,Kasur,13500000,8490000
KS025,Kasur Seri 025,Kasur,7830000,4770000
KS026,Kasur Seri 026,Kasur,6770000,4690000
KS027,Kasur Seri 027,Kasur,6560000,4560000
KS028,Kasur Seri 028,Kasur,7780000,5340000
KS029,Kasur Seri 029,Kasur,8960000,5710000
KS030,Kasur Seri 030,Kasur,3860000,2530000
KS031,Kasur Seri 031,Kasur,4390000,2770000
KS032,Kasur Seri 032,Kasur,9280000,5900000
KS033,Kasur Seri 033,Kasur,13600000,8910000
KS034,Kasur Seri 034,Kasur,6400000,4310000
DK001,Dekorasi Seri 001,Dekorasi,530000,350000
DK002,Dekorasi Seri 002,Dekorasi,490000,300000
DK003,Dekorasi Seri 003,Dekorasi,420000,270000
DK004,Dekorasi Seri 004,Dekorasi,1240000,800000
DK005,Dekorasi Seri 005,Dekorasi,430000,280000
DK006,Dekorasi Seri 006,Dekorasi,2070000,1350000
DK007,Dekorasi Seri 007,Dekorasi,900000,620000
DK008,Dekorasi Seri 008,Dekorasi,910000,600000
DK009,Dekorasi Seri 009,Dekorasi,990000,650000
DK010,Dekorasi Seri 010,Dekorasi,690000,430000
DK011,Dekorasi Seri 011,Dekorasi,2070000,1430000
DK012,Dekorasi Seri 012,Dekorasi,960000,620000
DK013,Dekorasi Seri 013,Dekorasi,1520000,990000
DK014,Dekorasi Seri 014,Dekorasi,890000,580000
DK015,Dekorasi Seri 015,Dekorasi,1390000,900000
DK016,Dekorasi Seri 016,Dekorasi,730000,480000
