tanggal,order_id,pelanggan_id,toko_id,produk_id,channel,qty,harga_satuan,diskon_pct,biaya_kirim
2024-01-01,ORD-2024-000020,P01193,T01,PD010,Toko,1,450000,15.5,
2024-01-01,ORD-2024-000129,,T11,PD022,Toko,1,520000,11.4,
2024-01-01,ORD-2024-000146,P01486,T13,DK042,Online,1,1280000,10.1,380000
2024-01-01,ORD-2024-000164,P02770,T09,PC029,Marketplace,2,1900000,7.5,440000
2024-01-01,ORD-2024-000188,P00556,T13,MJ005,Online,1,4030000,9.3,150000
2024-01-01,ORD-2024-000194,P01221,T02,PD016,Toko,1,1080000,14.1,330000
2024-01-01,ORD-2024-000203,P01212,T11,PD007,Toko,1,770000,7.4,
2024-01-01,ORD-2024-000234,P02671,T13,DK037,Online,1,540000,7.2,240000
2024-01-02,ORD-2024-000033,P02255,T13,PC005,Online,1,660000,18.9,500000
2024-01-02,ORD-2024-000064,P03476,T09,DK010,Toko,1,690000,6.4,
2024-01-02,ORD-2024-000177,P00396,T07,PC013,Toko,2,1410000,7.2,
2024-01-02,ORD-2024-000210,P02171,T06,MJ043,Toko,1,4010000,9.7,
2024-01-03,ORD-2024-000118,,T01,KR003,Toko,1,1440000,12.0,
2024-01-03,ORD-2024-000174,P02588,T04,LM009,Toko,1,2210000,13.9,
2024-01-03,ORD-2024-000180,P01045,T05,DK044,Toko,1,1380000,9.4,
2024-01-04,ORD-2024-000023,P01638,T08,KS031,Toko,1,4390000,14.8,430000
2024-01-04,ORD-2024-000029,P03253,T01,DK033,Marketplace,1,220000,10.3,530000
2024-01-04,ORD-2024-000061,P00531,T13,DK027,Online,1,630000,15.7,
2024-01-04,ORD-2024-000067,P01880,T05,LM025,Toko,1,9570000,8.8,
2024-01-04,ORD-2024-000067,P01880,T05,DK010,Toko,1,690000,15.4,
2024-01-04,ORD-2024-000107,P02851,T13,DK038,Online,1,530000,2.2,400000
2024-01-04,ORD-2024-000112,P02970,T09,DK008,Toko,1,910000,0.0,
2024-01-04,ORD-2024-000138,P02393,T08,LM019,Marketplace,1,5540000,13.5,260000
2024-01-04,ORD-2024-000156,P03241,T06,DK043,Toko,2,760000,18.5,
2024-01-05,ORD-2024-000016,P00789,T13,PC007,Online,2,1510000,6.6,260000
